order_id,customer_id,product_id,quantity,order_date,unit_price_paid
ORD-1060,C-160,P-30,1,2024-04-05,$18.75
ORD-1061,C-161,P-31,4,2024-04-06,$72.30
ORD-1062,C-162,P-32,2,06/04/2024,$58.10
ORD-1063,C-163,P-33,6,2024/04/07,$95.99
ORD-1064,C-164,P-34,3,45216,$40.00
ORD-1065,C-165,P-35,1,2024-04-08,$15.49
ORD-1066,C-166,P-36,-2,08-04-24,N/A
ORD-1067,C-167,P-37,2,2024.04.09,$27.80
ORD-1068,C-168,P-38,1,09/04/2024,$84,99
ORD-1069,C-169,P-39,5,2024-04-10,$135.00
ORD-1070,C-170,P-40,3,2024-04-11,$66.25
ORD-1071,C-171,P-41,1,2024-04-12,$11.99
ORD-1072,C-172,P-42,4,12/04/2024,$42.00
ORD-1073,C-173,P-43,2,2024/04/13,$88.90
ORD-1074,C-174,P-44,3,45217,$53.10
ORD-1075,C-175,P-45,5,2024-04-14,$91.25
ORD-1076,C-176,P-46,0,14-04-24,$17.99
ORD-1077,C-177,P-47,2,2024.04.15,$29.99
ORD-1078,C-178,P-48,1,15/04/2024,$72,50
ORD-1079,C-179,P-49,4,2024-04-16,$63.75
ORD-1080,C-180,P-50,3,2024-04-17,$145.00
ORD-1081,C-181,P-11,2,2024-04-18,$49.99
ORD-1082,C-182,P-12,1,18/04/2024,$19.99
ORD-1083,C-183,P-13,5,2024/04/19,$99.50
ORD-1084,C-184,P-14,3,45218,$35.00
ORD-1085,C-185,P-15,-1,2024-04-20,N/A
ORD-1086,C-186,P-16,4,20-04-24,$12.75
ORD-1087,C-187,P-17,2,2024.04.21,$67.90
ORD-1088,C-188,P-18,1,21/04/2024,$89,99
ORD-1089,C-189,P-19,6,2024-04-22,$25.40
ORD-1090,C-190,P-20,2,2024-04-23,$44.10
ORD-1091,C-191,P-21,1,2024-04-24,$59.99
ORD-1092,C-192,P-22,3,24/04/2024,$29.50
ORD-1093,C-193,P-23,4,2024/04/25,$75.00
ORD-1094,C-194,P-24,2,45219,$15.00
ORD-1095,C-195,P-25,5,2024-04-26,$120.99
ORD-1096,C-196,P-26,0,26-04-24,$89.00
ORD-1097,C-197,P-27,1,2024.04.27,$33.45
ORD-1098,C-198,P-28,2,27/04/2024,$64,50
ORD-1099,C-199,P-29,3,2024-04-28,$49.00
ORD-1100,C-200,P-30,1,2024-04-29,$18.75
